觀測站,年份,月份,月累積雨量(mm),降雨日數,平均每日雨量(mm),單日最大雨量(mm)
宜蘭,2024,2,5.5,5,1.1,2.8000000000000003
宜蘭,2024,3,37.4,17,2.1999999999999997,10.9
宜蘭,2024,4,54.1,19,2.8473684210526318,18.2
宜蘭,2024,5,182.2,25,7.287999999999999,81.2
宜蘭,2024,6,118.4,22,5.381818181818182,26.4
宜蘭,2024,7,327.90000000000003,12,27.325000000000003,191.0
宜蘭,2024,8,73.3,11,6.663636363636363,27.2
宜蘭,2024,9,356.1,20,17.805,113.8
宜蘭,2024,10,785.7,27,29.1,182.5
宜蘭,2024,11,436.5,26,16.78846153846154,149.0
宜蘭,2024,12,124.10000000000001,25,4.964,50.1
新北,2024,2,10.5,5,2.1,7.2
新北,2024,3,112.2,16,7.0125,24.9
新北,2024,4,243.5,20,12.175,56.800000000000004
新北,2024,5,213.6,20,10.68,54.1
新北,2024,6,618.1,23,26.87391304347826,76.1
新北,2024,7,511.1,20,25.555,186.0
新北,2024,8,434.0,16,27.125,80.6
新北,2024,9,570.0,18,31.666666666666668,199.0
新北,2024,10,569.2,22,25.872727272727275,247.2
新北,2024,11,130.3,23,5.665217391304348,25.0
新北,2024,12,71.9,22,3.2681818181818185,14.1
臺北,2024,2,2.6,5,0.52,1.1
臺北,2024,3,113.69999999999999,18,6.316666666666666,35.3
臺北,2024,4,223.1,23,9.7,76.2
臺北,2024,5,115.4,18,6.411111111111111,24.5
臺北,2024,6,345.6,25,13.824000000000002,60.800000000000004
臺北,2024,7,381.20000000000005,18,21.17777777777778,113.5
臺北,2024,8,270.5,17,15.911764705882353,51.1
臺北,2024,9,431.3,17,25.370588235294118,190.7
臺北,2024,10,424.3,24,17.679166666666667,264.1
臺北,2024,11,62.3,21,2.9666666666666663,7.8
臺北,2024,12,33.3,18,1.8499999999999999,12.2
